id;start_date;end_date;language
1;2021-08-03T12:06:59;2021-08-03T09:57:14;ENGLISH
2;2021-08-02T21:34:34;2021-08-03T07:00:03;FRENCH
3;2021-08-03T07:30:46;2021-08-02T19:35:54;SPANISH
4;2021-08-03T12:01:35;2021-08-02T17:27:54;FRENCH
5;2021-08-03T14:17:58;2021-08-02T22:36:56;ENGLISH
6;2021-08-02T23:48:41;2021-08-03T13:49:01;SPANISH
7;2021-08-03T07:52:29;2021-08-02T18:26:38;FRENCH
8;2021-08-02T22:18:22;2021-08-02T18:54:11;FRENCH
9;2021-08-02T23:10:00;2021-08-03T10:41:26;FRENCH
10;2021-08-02T19:06:58;2021-08-03T12:04:27;FRENCH
